"Journal Name ","Edition","ISSN","Price Group","Volume From","Volume To","Issues Per Volume","Currency","2010 Rate"
"Administration In Social Work","WASWHI","0364-3107","Institutional",34,34,5,"USD",901
"Administration In Social Work","WASWI","1544-4376","Institutional",34,34,5,"EUR",851
"Administration In Social Work","WASWI","1544-4376","Institutional",34,34,5,"GBP - UK",655
"Administration In Social Work","WASWI","1544-4376","Institutional",34,34,5,"USD",856
"Adoption Quarterly","WADOHI","1092-6755","Institutional",13,13,4,"EUR",371
"Adoption Quarterly","WADOHI","1092-6755","Institutional",13,13,4,"GBP - UK",285
"Adoption Quarterly","WADOHI","1092-6755","Institutional",13,13,4,"USD",376
"Adoption Quarterly","WADOI","1544-452X","Institutional",13,13,4,"EUR",352
"Adoption Quarterly","WADOI","1544-452X","Institutional",13,13,4,"GBP - UK",270
"Adoption Quarterly","WADOI","1544-452X","Institutional",13,13,4,"USD",357
"Advances in Oceanography and Limnology","TAOLHI","1947-5721","Institutional",1,1,2,"EUR",310
"Advances in Oceanography and Limnology","TAOLHI","1947-5721","Institutional",1,1,2,"GBP - UK",235
"Advances in Oceanography and Limnology","TAOLHI","1947-5721","Institutional",1,1,2,"USD",387
"Advances in Oceanography and Limnology Online","TAOLI","1947-573X","Institutional",1,1,2,"EUR",294
"Advances in Oceanography and Limnology Online","TAOLI","1947-573X","Institutional",1,1,2,"USD",368
"Advances in Oceanography and Limnology Online ","TAOLI","1947-573X","Institutional",1,1,2,"GBP - UK",223
"Advances in Physics","TADPHI","0001-8732","Institutional",59,59,6,"EUR","3,820.00"
"Advances in Physics","TADPHI","0001-8732","Institutional",59,59,6,"GBP - UK","2,893.00"
"Advances in Physics","TADPHI","0001-8732","Institutional",59,59,6,"USD","4,798.00"
"Advances in Physics","TADPI","1460-6976","Institutional",59,59,6,"EUR","3,629.00"
"Advances in Physics","TADPI","1460-6976","Institutional",59,59,6,"GBP - UK","2,748.00"
"Advances in Physics","TADPI","1460-6976","Institutional",59,59,6,"USD","4,558.00"
"Aerosol Science & Technology","UASTHI","0278-6826","Institutional",44,44,12,"EUR","1,025.00"
"Aerosol Science & Technology","UASTHI","0278-6826","Institutional",44,44,12,"GBP - UK",776
"Aerosol Science & Technology","UASTHI","0278-6826","Institutional",44,44,12,"USD","1,280.00"
"Aerosol Science & Technology","UASTI","1521-7388","Institutional",44,44,12,"EUR",974
"Aerosol Science & Technology","UASTI","1521-7388","Institutional",44,44,12,"GBP - UK",738
"Aerosol Science & Technology","UASTI","1521-7388","Institutional",44,44,12,"USD","1,216.00"
"Africa Education Review","RAERI","1753-5921","Institutional",7,7,2,"EUR",236
"Africa Education Review","RAERI","1753-5921","Institutional",7,7,2,"GBP - UK",151
"Africa Education Review","RAERI","1753-5921","Institutional",7,7,2,"USD",296
"Africa Education Review","RAERHI","1814-6627","Institutional",7,7,2,"EUR",248
"Africa Education Review","RAERHI","1814-6627","Institutional",7,7,2,"GBP - UK",159
"Africa Education Review","RAERHI","1814-6627","Institutional",7,7,2,"USD",312
"African and Black Dispora: An International Journal","RABDHI","1752-8631","Institutional",3,3,2,"EUR",260
"African and Black Dispora: An International Journal","RABDHI","1752-8631","Institutional",3,3,2,"GBP - UK",167
"African and Black Dispora: An International Journal","RABDHI","1752-8631","Institutional",3,3,2,"USD",326
"African and Black Dispora: An International Journal","RABDI","1752-864X","Institutional",3,3,2,"EUR",246
"African and Black Dispora: An International Journal","RABDI","1752-864X","Institutional",3,3,2,"GBP - UK",158
"African and Black Dispora: An International Journal","RABDI","1752-864X","Institutional",3,3,2,"USD",309
"African Historical Review","RAHRHI","1753-2523","Institutional",42,42,2,"EUR",179
"African Historical Review","RAHRHI","1753-2523","Institutional",42,42,2,"GBP - UK",114
"African Historical Review","RAHRHI","1753-2523","Institutional",42,42,2,"USD",225
"African Historical Review","RAHRI","1753-2531","Institutional",42,42,2,"EUR",170
"African Historical Review","RAHRI","1753-2531","Institutional",42,42,2,"GBP - UK",109
"African Historical Review","RAHRI","1753-2531","Institutional",42,42,2,"USD",213
"African Identities","CAFIHI","1472-5843","Institutional",8,8,4,"EUR",443
"African Identities","CAFIHI","1472-5843","Institutional",8,8,4,"GBP - UK",334
"African Identities","CAFIHI","1472-5843","Institutional",8,8,4,"USD",557
"African Identities","CAFII","1472-5851","Institutional",8,8,4,"EUR",421
"African Identities","CAFII","1472-5851","Institutional",8,8,4,"GBP - UK",318
"African Identities","CAFII","1472-5851","Institutional",8,8,4,"USD",529
"African Journal of AIDS Research","RAARHI","1608-5906","Institutional",9,9,4,"EUR",320
"African Journal of AIDS Research","RAARHI","1608-5906","Institutional",9,9,4,"GBP - UK",222
"African Journal of AIDS Research","RAARHI","1608-5906","Institutional",9,9,4,"USD",400
"African Journal of AIDS Research Online","RAARI","1727-9445","Institutional",9,9,4,"EUR",264
"African Journal of AIDS Research Online","RAARI","1727-9445","Institutional",9,9,4,"GBP - UK",183
"African Journal of AIDS Research Online","RAARI","1727-9445","Institutional",9,9,4,"USD",330
"African Journal of Aquatic Science","TAASHI","1608-5914","Institutional",35,35,3,"EUR",357
"African Journal of Aquatic Science","TAASHI","1608-5914","Institutional",35,35,3,"GBP - UK",248
"African Journal of Aquatic Science","TAASHI","1608-5914","Institutional",35,35,3,"USD",446
"African Journal of Aquatic Science Onlin","TAASI","1727-9364","Institutional",35,35,3,"EUR",339
"African Journal of Aquatic Science Onlin","TAASI","1727-9364","Institutional",35,35,3,"GBP - UK",235
"African Journal of Aquatic Science Onlin","TAASI","1727-9364","Institutional",35,35,3,"USD",424
"African Journal of Marine Science","TAMSHI","1814-232X","Institutional",32,32,3,"EUR",403
"African Journal of Marine Science","TAMSHI","1814-232X","Institutional",32,32,3,"GBP - UK",280
"African Journal of Marine Science","TAMSHI","1814-232X","Institutional",32,32,3,"USD",504
"African Journal of Marine Science Online","TAMSI","1814-2338","Institutional",32,32,3,"EUR",383
"African Journal of Marine Science Online","TAMSI","1814-2338","Institutional",32,32,3,"GBP - UK",266
"African Journal of Marine Science Online","TAMSI","1814-2338","Institutional",32,32,3,"USD",479
"African Journal of Range & Forage Scienc","TARFHI","1022-0119","Institutional",27,27,3,"EUR",374
"African Journal of Range & Forage Scienc","TARFHI","1022-0119","Institutional",27,27,3,"GBP - UK",259
"African Journal of Range & Forage Scienc","TARFHI","1022-0119","Institutional",27,27,3,"USD",467
"African Journal of Range & Forage Scienc","TARFI","1727-9380","Institutional",27,27,3,"EUR",355
"African Journal of Range & Forage Scienc","TARFI","1727-9380","Institutional",27,27,3,"GBP - UK",246
"African Journal of Range & Forage Scienc","TARFI","1727-9380","Institutional",27,27,3,"USD",444
"African Security","UAFSHI","1939-2206","Institutional",3,3,4,"EUR",260
"African Security","UAFSHI","1939-2206","Institutional",3,3,4,"GBP - UK",200
"African Security","UAFSHI","1939-2206","Institutional",3,3,4,"USD",400
"African Security","UAFSI","1939-2214","Institutional",3,3,4,"EUR",248
"African Security","UAFSI","1939-2214","Institutional",3,3,4,"GBP - UK",191
"African Security","UAFSI","1939-2214","Institutional",3,3,4,"USD",380
"African Studies","CASTHI","0002-0184","Institutional",69,69,3,"EUR",443
"African Studies","CASTHI","0002-0184","Institutional",69,69,3,"GBP - UK",336
"African Studies","CASTHI","0002-0184","Institutional",69,69,3,"USD",557
"African Studies","CASTI","1469-2872","Institutional",69,69,3,"EUR",421
"African Studies","CASTI","1469-2872","Institutional",69,69,3,"GBP - UK",320
"African Studies","CASTI","1469-2872","Institutional",69,69,3,"USD",529
"Aging & Mental Health","CAMHHI","1360-7863","Institutional",14,14,8,"EUR","1,606.00"
"Aging & Mental Health","CAMHHI","1360-7863","Institutional",14,14,8,"GBP - UK","1,226.00"
"Aging & Mental Health","CAMHHI","1360-7863","Institutional",14,14,8,"USD","2,017.00"
"Aging & Mental Health","CAMHI","1364-6915","Institutional",14,14,8,"EUR","1,526.00"
"Aging & Mental Health","CAMHI","1364-6915","Institutional",14,14,8,"GBP - UK","1,165.00"
"Aging & Mental Health","CAMHI","1364-6915","Institutional",14,14,8,"USD","1,916.00"
"Aging, Neuropsychology, and Cognition","NANCHI","1382-5585","Institutional",17,17,6,"EUR",862
"Aging, Neuropsychology, and Cognition","NANCHI","1382-5585","Institutional",17,17,6,"GBP - UK",646
"Aging, Neuropsychology, and Cognition","NANCHI","1382-5585","Institutional",17,17,6,"USD","1,083.00"
"Aging, Neuropsychology, and Cognition","NANCI","1744-4128","Institutional",17,17,6,"EUR",819
"Aging, Neuropsychology, and Cognition","NANCI","1744-4128","Institutional",17,17,6,"GBP - UK",614
"Aging, Neuropsychology, and Cognition","NANCI","1744-4128","Institutional",17,17,6,"USD","1,029.00"
"AIDS Care","CAICHI","0954-0121","Institutional",22,22,12,"EUR","2,226.00"
"AIDS Care","CAICHI","0954-0121","Institutional",22,22,12,"GBP - UK","1,684.00"
"AIDS Care","CAICHI","0954-0121","Institutional",22,22,12,"USD","2,793.00"
"AIDS Care","CAICI","1360-0451","Institutional",22,22,12,"EUR","2,115.00"
"AIDS Care","CAICI","1360-0451","Institutional",22,22,12,"GBP - UK","1,600.00"
"AIDS Care","CAICI","1360-0451","Institutional",22,22,12,"USD","2,654.00"
"AJOB Neuroscience","UABNHI","2150-7740","Institutional",1,1,4,"USD",288
"AJOB Neuroscience","UABNHI","2150-7740","Institutional",1,1,4,"GBP - UK",175
"AJOB Neuroscience","UABNHI","2150-7740","Institutional",1,1,4,"EUR",230
"AJOB Neuroscience Online","UABNI","2150-7759","Institutional",1,1,4,"USD",274
"AJOB Neuroscience Online","UABNI","2150-7759","Institutional",1,1,4,"GBP - UK",166
"AJOB Neuroscience Online","UABNI","2150-7759","Institutional",1,1,4,"EUR",219
"AJOB Primary Research","UABRHI","2150-7716","Institutional",1,1,4,"USD",288
"AJOB Primary Research","UABRHI","2150-7716","Institutional",1,1,4,"GBP - UK",175
"AJOB Primary Research","UABRHI","2150-7716","Institutional",1,1,4,"EUR",230
"AJOB Primary Research Online","UABRI","2150-7724","Institutional",1,1,4,"USD",274
"AJOB Primary Research Online","UABRI","2150-7724","Institutional",1,1,4,"GBP - UK",166
"AJOB Primary Research Online","UABRI","2150-7724","Institutional",1,1,4,"EUR",219
"Alcheringa: An Australasian Journal of Palaeontology","TALCHI","0311-5518","Institutional",34,34,4,"AUD",331
"Alcheringa: An Australasian Journal of Palaeontology","TALCHI","0311-5518","Institutional",34,34,4,"EUR",169
"Alcheringa: An Australasian Journal of Palaeontology","TALCHI","0311-5518","Institutional",34,34,4,"GBP - UK",126
"Alcheringa: An Australasian Journal of Palaeontology","TALCHI","0311-5518","Institutional",34,34,4,"USD",211
"Alcheringa: An Australasian Journal of Palaeontology","TALCI","1752-0754","Institutional",34,34,4,"AUD",314
"Alcheringa: An Australasian Journal of Palaeontology","TALCI","1752-0754","Institutional",34,34,4,"EUR",161
"Alcheringa: An Australasian Journal of Palaeontology","TALCI","1752-0754","Institutional",34,34,4,"GBP - UK",121
"Alcheringa: An Australasian Journal of Palaeontology","TALCI","1752-0754","Institutional",34,34,4,"USD",201
"Alcoholism Treatment Quarterly","WATQHI","0734-7324","Institutional",28,28,4,"EUR",794
"Alcoholism Treatment Quarterly","WATQHI","0734-7324","Institutional",28,28,4,"GBP - UK",611
"Alcoholism Treatment Quarterly","WATQHI","0734-7324","Institutional",28,28,4,"USD",797
"Alcoholism Treatment Quarterly","WATQI","1544-4538","Institutional",28,28,4,"EUR",755
"Alcoholism Treatment Quarterly","WATQI","1544-4538","Institutional",28,28,4,"GBP - UK",581
"Alcoholism Treatment Quarterly","WATQI","1544-4538","Institutional",28,28,4,"USD",758
"Al-Masaq: Islam & the Medieval Mediterranean","CALMHI","0950-3110","Institutional",22,22,3,"EUR",323
"Al-Masaq: Islam & the Medieval Mediterranean","CALMHI","0950-3110","Institutional",22,22,3,"GBP - UK",244
"Al-Masaq: Islam & the Medieval Mediterranean","CALMHI","0950-3110","Institutional",22,22,3,"USD",404
"Al-Masaq: Islam & the Medieval Mediterranean","CALMI","1473-348X","Institutional",22,22,3,"EUR",306
"Al-Masaq: Islam & the Medieval Mediterranean","CALMI","1473-348X","Institutional",22,22,3,"GBP - UK",232
"Al-Masaq: Islam & the Medieval Mediterranean","CALMI","1473-348X","Institutional",22,22,3,"USD",384
"ALT-J","CALTHI","0968-7769","Institutional",18,18,3,"EUR",250
"ALT-J","CALTHI","0968-7769","Institutional",18,18,3,"GBP - UK",209
"ALT-J","CALTHI","0968-7769","Institutional",18,18,3,"USD",315
"ALT-J","CALTI","1741-1629","Institutional",18,18,3,"EUR",238
"ALT-J","CALTI","1741-1629","Institutional",18,18,3,"GBP - UK",199
"ALT-J","CALTI","1741-1629","Institutional",18,18,3,"USD",299
"American Communist History","RACHHI","1474-3892","Institutional",9,9,3,"EUR",378
"American Communist History","RACHHI","1474-3892","Institutional",9,9,3,"GBP - UK",288
"American Communist History","RACHHI","1474-3892","Institutional",9,9,3,"USD",476
"American Communist History","RACHI","1474-3906","Institutional",9,9,3,"EUR",359
"American Communist History","RACHI","1474-3906","Institutional",9,9,3,"GBP - UK",273
"American Communist History","RACHI","1474-3906","Institutional",9,9,3,"USD",452
"American Foreign Policy Interests","UAFPHI","1080-3920","Institutional",32,32,6,"EUR",285
"American Foreign Policy Interests","UAFPHI","1080-3920","Institutional",32,32,6,"GBP - UK",214
"American Foreign Policy Interests","UAFPHI","1080-3920","Institutional",32,32,6,"USD",357
"American Foreign Policy Interests","UAFPI","1533-2128","Institutional",32,32,6,"EUR",270
"American Foreign Policy Interests","UAFPI","1533-2128","Institutional",32,32,6,"GBP - UK",204
"American Foreign Policy Interests","UAFPI","1533-2128","Institutional",32,32,6,"USD",339
"American Journal of Distance Education","HAJDHI","0892-3647","Institutional",24,24,4,"EUR",216
"American Journal of Distance Education","HAJDHI","0892-3647","Institutional",24,24,4,"GBP - UK",162
"American Journal of Distance Education","HAJDHI","0892-3647","Institutional",24,24,4,"USD",271
"American Journal of Distance Education","HAJDI","1538-9286","Institutional",24,24,4,"EUR",206
"American Journal of Distance Education","HAJDI","1538-9286","Institutional",24,24,4,"GBP - UK",154
"American Journal of Distance Education","HAJDI","1538-9286","Institutional",24,24,4,"USD",258
"American Journal of Family Therapy","UAFTHI","0192-6187","Institutional",38,38,5,"EUR",245
"American Journal of Family Therapy","UAFTHI","0192-6187","Institutional",38,38,5,"GBP - UK",185
"American Journal of Family Therapy","UAFTHI","0192-6187","Institutional",38,38,5,"USD",308
"American Journal of Family Therapy","UAFTI","1521-0383","Institutional",38,38,5,"EUR",233
"American Journal of Family Therapy","UAFTI","1521-0383","Institutional",38,38,5,"GBP - UK",176
"American Journal of Family Therapy","UAFTI","1521-0383","Institutional",38,38,5,"USD",293
"American Journal of Psychiatric Rehabilitation","UAPRHI","1548-7768","Institutional",13,13,4,"EUR",286
"American Journal of Psychiatric Rehabilitation","UAPRHI","1548-7768","Institutional",13,13,4,"GBP - UK",212
"American Journal of Psychiatric Rehabilitation","UAPRHI","1548-7768","Institutional",13,13,4,"USD",360
"American Journal of Psychiatric Rehabilitation","UAPRI","1548-7776","Institutional",13,13,4,"EUR",272
"American Journal of Psychiatric Rehabilitation","UAPRI","1548-7776","Institutional",13,13,4,"GBP - UK",201
"American Journal of Psychiatric Rehabilitation","UAPRI","1548-7776","Institutional",13,13,4,"USD",342
"American Journal Of Sexuality Education","WAJSHI","1554-6128","Institutional",5,5,4,"EUR",220
"American Journal Of Sexuality Education","WAJSHI","1554-6128","Institutional",5,5,4,"GBP - UK",170
"American Journal Of Sexuality Education","WAJSHI","1554-6128","Institutional",5,5,4,"USD",228
"American Journal Of Sexuality Education","WAJSI","1554-6136","Institutional",5,5,4,"EUR",209
"American Journal Of Sexuality Education","WAJSI","1554-6136","Institutional",5,5,4,"GBP - UK",161
"American Journal Of Sexuality Education","WAJSI","1554-6136","Institutional",5,5,4,"USD",216
"American Nineteenth Century History","FANCHI","1466-4658","Institutional",11,11,3,"EUR",292
"American Nineteenth Century History","FANCHI","1466-4658","Institutional",11,11,3,"GBP - UK",220
"American Nineteenth Century History","FANCHI","1466-4658","Institutional",11,11,3,"USD",367
"American Nineteenth Century History","FANCI","1743-7903","Institutional",11,11,3,"EUR",277
"American Nineteenth Century History","FANCI","1743-7903","Institutional",11,11,3,"GBP - UK",209
"American Nineteenth Century History","FANCI","1743-7903","Institutional",11,11,3,"USD",349
"American Review of Canadian Studies","RARCHI","0272-2011","Institutional",40,40,4,"EUR",257
"American Review of Canadian Studies","RARCHI","0272-2011","Institutional",40,40,4,"GBP - UK",178
"American Review of Canadian Studies","RARCHI","0272-2011","Institutional",40,40,4,"USD",321
"American Review of Canadian Studies","RARCI","1943-9954","Institutional",40,40,4,"EUR",244
"American Review of Canadian Studies","RARCI","1943-9954","Institutional",40,40,4,"GBP - UK",170
"American Review of Canadian Studies","RARCI","1943-9954","Institutional",40,40,4,"USD",305
"An International Journal on Fungal Biology","TMYCHI","2150-1203","Institutional",1,1,4,"USD",350
"An International Journal on Fungal Biology","TMYCHI","2150-1203","Institutional",1,1,4,"GBP - UK",212
"An International Journal on Fungal Biology","TMYCHI","2150-1203","Institutional",1,1,4,"EUR",280
"An International Journal on Fungal Biology Online","TMYCI","2150-1211","Institutional",1,1,4,"USD",333
"An International Journal on Fungal Biology Online","TMYCI","2150-1211","Institutional",1,1,4,"GBP - UK",202
"An International Journal on Fungal Biology Online","TMYCI","2150-1211","Institutional",1,1,4,"EUR",266
"Analytical Letters","LANLHI","0003-2719","Institutional",43,43,18,"EUR","4,457.00"
"Analytical Letters","LANLHI","0003-2719","Institutional",43,43,18,"GBP - UK","3,376.00"
"Analytical Letters","LANLHI","0003-2719","Institutional",43,43,18,"USD","5,597.00"
"Analytical Letters","LANLI","1532-236X","Institutional",43,43,18,"EUR","4,232.00"
"Analytical Letters","LANLI","1532-236X","Institutional",43,43,18,"GBP - UK","3,207.00"
"Analytical Letters","LANLI","1532-236X","Institutional",43,43,18,"USD","5,318.00"
"Angelaki: Journal of Theoretical Humanities","CANGHI","0969-725X","Institutional",15,15,3,"EUR",350
"Angelaki: Journal of Theoretical Humanities","CANGHI","0969-725X","Institutional",15,15,3,"GBP - UK",266
"Angelaki: Journal of Theoretical Humanities","CANGHI","0969-725X","Institutional",15,15,3,"USD",440
"Angelaki: Journal of Theoretical Humanities","CANGI","1469-2899","Institutional",15,15,3,"EUR",333
"Angelaki: Journal of Theoretical Humanities","CANGI","1469-2899","Institutional",15,15,3,"GBP - UK",253
"Angelaki: Journal of Theoretical Humanities","CANGI","1469-2899","Institutional",15,15,3,"USD",418
"Animal Biotechnology","LABTHI","1049-5398","Institutional",21,21,4,"EUR","1,363.00"
"Animal Biotechnology","LABTHI","1049-5398","Institutional",21,21,4,"GBP - UK","1,031.00"
"Animal Biotechnology","LABTHI","1049-5398","Institutional",21,21,4,"USD","1,712.00"
"Animal Biotechnology","LABTI","1532-2378","Institutional",21,21,4,"EUR","1,295.00"
"Animal Biotechnology","LABTI","1532-2378","Institutional",21,21,4,"GBP - UK",980
"Animal Biotechnology","LABTI","1532-2378","Institutional",21,21,4,"USD","1,626.00"
"Annals of GIS","TAGIHI","1947-5683","Institutional",16,16,4,"EUR",320
"Annals of GIS","TAGIHI","1947-5683","Institutional",16,16,4,"GBP - UK",222
"Annals of GIS","TAGIHI","1947-5683","Institutional",16,16,4,"USD",400
"Annals of GIS","TAGII","1947-5691","Institutional",16,16,4,"EUR",304
"Annals of GIS","TAGII","1947-5691","Institutional",16,16,4,"GBP - UK",211
"Annals of GIS","TAGII","1947-5691","Institutional",16,16,4,"USD",380
"Annals of Science","TASCHI","0003-3790","Institutional",67,67,4,"EUR","1,298.00"
"Annals of Science","TASCHI","0003-3790","Institutional",67,67,4,"GBP - UK",984
"Annals of Science","TASCHI","0003-3790","Institutional",67,67,4,"USD","1,630.00"
"Annals of Science","TASCI","1464-505X","Institutional",67,67,4,"EUR","1,233.00"
"Annals of Science","TASCI","1464-505X","Institutional",67,67,4,"GBP - UK",935
"Annals of Science","TASCI","1464-505X","Institutional",67,67,4,"USD","1,548.00"
"Annals of the Association of American Geographers AND The Professional Geographe","RAAGPHI","9999-5608","Institutional",3,3,9,"EUR","1,351.00"
"Annals of the Association of American Geographers AND The Professional Geographe","RAAGPHI","9999-5608","Institutional",3,3,9,"GBP - UK",919
"Annals of the Association of American Geographers AND The Professional Geographe","RAAGPHI","9999-5608","Institutional",3,3,9,"USD","1,184.00"
"Annals of the Association of American Geographers AND The Professional Geographe","RAAGPI","9999-8306","Institutional",3,3,9,"EUR","1,283.00"
"Annals of the Association of American Geographers AND The Professional Geographe","RAAGPI","9999-8306","Institutional",3,3,9,"GBP - UK",873
