"Journal No.","Conditions of Sale","ISSN","Journal Title","Remarks","Vol.     
Nos","Total no. of Vols","Issues P/A","Rest of World - USD","USA - USD","Canada - USD","Mexico - USD","Subject Area         "
09076,"Paris","0515-3700","Actualites Pharmaceutiques",,"492-502",11,11,"330",,,,"Pharmacology, Pharmaceutical Science and Toxicology"
09355,"Paris","1769-7344","Actualites Pharmaceutiques Hospitalieres",,"21-24",4,4,"88",,,,"Pharmacology, Pharmaceutical Science and Toxicology"
05481,"Oxford","1570-8705","Ad Hoc Networks",,"8",1,8,"517",,,,"Computer Science"
00471,"Oxford","0306-4603","Addictive Behaviors",,"35",1,12,"1817",,,,"Social and Behavioral Sciences"
02274,"Oxford",,"Addictive Behaviors with Eating Behaviors (Combined Subscription)",,"2010",2,16,"2120",,,,"Social and Behavioral Sciences"
02061,"Oxford","0306-3747","Additives for Polymers",,"2010",1,12,"1505",,,,"Materials Science"
05000,"Oxford","0169-409X","Advanced Drug Delivery Reviews",,"62",1,15,"6070",,,,"Pharmacology, Pharmaceutical Science and Toxicology"
02007,"Oxford","1474-0346","Advanced Engineering Informatics",,"24",1,4,"1317",,,,"Engineering, Energy and Technology"
01026,"Oxford",,"Advanced Engineering Informatics with Engineering Applications of Artificial Intelligence (Combined Subscription)",,"2010",2,12,"2471",,,,"Engineering, Energy and Technology"
08668,"Oxford","0921-8831","Advanced Powder Technology",,"21",1,6,"1303",,,,"Chemistry and Chemical Engineering"
05609,"Oxford","0882-6110","Advances in Accounting",,"26",1,2,"338",,,,"Economics, Business and Management"
13139,"Orlando, FL","0737-6146","Advances in Anesthesia",,"28",1,1,"219",202,,,"Medicine"
12001,"Oxford","0196-8858","Advances in Applied Mathematics",,"44-45",2,8,"1169",,,,"Mathematics"
13265,"Orlando, FL","1548-5595","Advances in Chronic Kidney Disease",,"17",1,6,"396",357,,,"Medicine"
05136,"Oxford","0001-8686","Advances in Colloid and Interface Science",,"155-162",8,16,"2924",,,,"Chemistry and Chemical Engineering"
05465,"Oxford",,"Advances in Colloid and Interface Science with Current Opinion in Colloid & Interface Science (Combined Subscription)",,"2010",9,22,"4902",,,,"Chemistry and Chemical Engineering"
13328,"Orlando, FL","0882-0880","Advances in Dermatology",,"26",1,1,"219",202,,,"Medicine"
02000,"Oxford","0965-9978","Advances in Engineering Software",,"41",1,12,"2728",,,,"Engineering, Energy and Technology"
00427,"Oxford","0065-2571","Advances in Enzyme Regulation",,"50",1,1,"1222",,,,"Life Sciences"
05617,"Oxford","1040-2608","Advances in Life Course Research
Discounted annual subscription rates are available to members of the following associations: American Sociological Association, Population Association of America, International Union for the Scientific Study of Population, European Association of Population Studies. For more information please contact your local regional sales office.",,"15",1,4,"273",,,,"Arts and Humanities"
12005,"Oxford","0001-8708","Advances in Mathematics",,"223-225",3,18,"3618",,,,"Mathematics"
13279,"Orlando, FL","0065-3101","Advances in Pediatrics",,"57",1,1,"219",202,,,"Medicine"
13001,"Orlando, FL","1041-7826","Advances in Small Animal Medicine and Surgery",,"23",1,12,"363",250,,,"Veterinary Science and Veterinary Medicine"
01015,"Oxford","FS00-1015","Advances in Space Research",,"2010",5,27,"4592",,,,"Earth and Planetary Sciences"
13142,"Orlando, FL","0065-3411","Advances in Surgery(R)",,"44",1,1,"219",202,,,"Medicine"
02001,"Oxford","0309-1708","Advances in Water Resources",,"33",1,12,"2047",,,,"Earth and Planetary Sciences"
08500,"Oxford","0001-8848","Adverse Reactions Titles (Section 38 EMBASE)",,"45",1,12,"25200",,,,"Medicine"
08639,"Oxford","1875-9637","Aeolian Research",,"2",1,4,"447",,,,"Earth and Planetary Sciences"
09001,"Oxford","1270-9638","Aerospace Science and Technology",,"14",1,8,"430",,,,"Engineering, Energy and Technology"
05464,"Oxford","1568-1637","Ageing Research Reviews",,"9",1,4,"783",,,,"Life Sciences"
01001,"Oxford","1359-1789","Aggression and Violent Behavior",,"15",1,6,"728",,,,"Social and Behavioral Sciences"
08568,"Oxford","1671-2927","Agricultural Sciences in China",,"9",1,12,"706",,,,"Agricultural and Biological Sciences"
02002,"Oxford","0308-521X","Agricultural Systems",,"103",1,9,"3609",,,,"Agricultural and Biological Sciences"
05085,"Oxford","0378-3774","Agricultural Water Management",,"97",1,12,"2120",,,,"Agricultural and Biological Sciences"
05320,"Oxford","0168-1923","Agricultural and Forest Meteorology",,"150",1,12,"3425",,,,"Earth and Planetary Sciences"
05086,"Oxford","0167-8809","Agriculture, Ecosystems & Environment",,"135-138",4,16,"3017",,,,"Agricultural and Biological Sciences"
05087,"Oxford",,"Agriculture, Ecosystems & Environment with Applied Soil Ecology (Combined Subscription)",,"2010",7,25,"3638",,,,"Agricultural and Biological Sciences"
13163,"Orlando, FL","1067-991X","Air Medical Journal",,"29",1,6,"222",171,,,"Nursing"
07500,"Orlando, FL","0741-8329","Alcohol",,"44",1,8,"2343","2,061",,,"Neuroscience"
15754,"Oxford","0301-0546","Allergologia et Immunopathologia",,"38",1,6,,,,,"Multidiscipline"
14026,"Orlando, FL","0002-6417","Alpha Omegan",,"103",1,4,"115",111,,,"Dentistry"
13371,"Orlando, FL","1552-5260","Alzheimer's & Dementia",,"6",1,6,"325",316,,,"Neuroscience"
13240,"Orlando, FL","0002-8703","American Heart Journal",,"159-160",2,12,"747",650,,,"Medicine"
13226,"Orlando, FL","0735-6757","American Journal of Emergency Medicine",,"28",1,7,"646",481,,,"Medicine"
13229,"Orlando, FL","0272-6386","American Journal of Kidney Diseases",,"55-56",2,12,"1058",950,,,"Medicine"
13246,"Orlando, FL","0002-9378","American Journal of Obstetrics & Gynecology",,"202-203",2,12,"802",702,,,"Medicine"
07582,"Orlando, FL","0002-9394","American Journal of Ophthalmology",,"149-150",2,12,"809",608,608,,"Medicine"
13027,"Orlando, FL","0889-5406","American Journal of Orthodontics and Dentofacial Orthopedics",,"137-138",2,12,"618",520,,,"Dentistry"
13046,"Orlando, FL","0196-0709","American Journal of Otolaryngology",,"31",1,6,"604",405,,,"Medicine"
07689,"Orlando, FL","0749-3797","American Journal of Preventive Medicine","Publication Expansion","38-39",2,12,"862",794,,,"Medicine"
14022,"Orlando, FL","0094-9620","American Optometric Association News",,"48-49",2,18,,,,,"Medicine"
12695,"Oxford","1075-9964","Anaerobe",,"16",1,6,"563",,,,"Life Sciences"
04263,,"1472-0299","Anaesthesia and Intensive Care Medicine",,"11",1,12,"592",,,,"Computer Science"
15711,"Oxford","1695-4033","Anales de Pediatria",,"71",1,12,,,,,"Multidiscipline"
,"Oxford","1696-2818","Anales de Pediatria Continuada",,,,,,,,,"Multidiscipline"
05137,"Oxford","0003-2670","Analytica Chimica Acta",,"657-682",26,52,"10932",,,,"Chemistry and Chemical Engineering"
05138,"Oxford",,"Analytica Chimica Acta with Vibrational Spectroscopy (Combined Subscription)",,"2010",29,58,"12085",,,,"Chemistry and Chemical Engineering"
12002,"Oxford","0003-2697","Analytical Biochemistry",,"396-407",12,24,"5812",,,,"Life Sciences"
08501,"Oxford","0014-4053","Anatomy, Anthropology, Embryology and Histology (Section 1 EMBASE)
Also available as part of the Excerpta Medica Full Set Series",,"82-83",2,12,"3700",,,,"Life Sciences"
08502,"Oxford","0014-4282","Anesthesiology (Section 24 EMBASE)
Also available as part of the Excerpta Medica Full Set Series",,"45",1,10,"3200",,,,"Medicine"
13047,"Orlando, FL","1932-2275","Anesthesiology Clinics",,"28",1,4,"517",417,517,,"Medicine"
12602,"Oxford","0003-3472","Animal Behaviour",,"79-80",2,12,"1201",,,,"Agricultural and Biological Sciences"
05088,"Oxford","0377-8401","Animal Feed Science and Technology",,"155-162",8,32,"3466",,,,"Agricultural and Biological Sciences"
05089,"Oxford","0378-4320","Animal Reproduction Science",,"117-123",7,28,"2926",,,,"Agricultural and Biological Sciences"
15180,"Paris","0003-4266","Annales D'Endocrinologie",,"71",1,6,"500",,,,"Life Sciences"
09011,"Paris","0750-7658","Annales Francaises d'Anesthesie et de Reanimation",,"29",1,12,"512",,,,"Medicine"
09107,"Paris","0003-4487","Annales Medico-psychologiques, revue psychiatrique",,"168",1,10,"546",,,,"Medicine"
15260,"Paris","0003-4509","Annales Pharmaceutiques Francaises",,"68",1,6,"592",,,,"Chemistry and Chemical Engineering"
15230,"Paris","0003-438X","Annales d'Otolaryngologie et de Chirurgie Cervico-Faciale",,"128",1,6,"471",,,,"Medicine"
09082,"Paris","0003-3928","Annales de Cardiologie et d'Angeiologie",,"59",1,6,"423",,,,"Medicine"
09084,"Paris","0294-1260","Annales de Chirurgie Plastique Esthetique",,"55",1,6,"549",,,,"Medicine"
15170,"Paris","0151-9638","Annales de Dermatologie et de Venereologie",,"137",1,10,"623",,,,"Medicine"
09008,"Paris","0753-3969","Annales de Paleontologie",,"96",1,4,"678",,,,"Earth and Planetary Sciences"
15130,"Paris","0242-6498","Annales de Pathologie",,"30",1,6,"577",,,,"Medicine"
09009,"Paris","0168-6054","Annales de Readaptation et de Medecine Physique",,"53",1,9,"574",,,,"Medicine"
15853,"Oxford","0299-2213","Annales de chirurgie vasculaire",,"23",1,8,"486",,,,"Medicine"
09006,"Oxford","0294-1449","Annales de l'Institut Henri Poincare (C) Analyse Non Lineaire",,"27",1,6,"662",,,,"Mathematics"
14037,"Orlando, FL","1081-1206","Annals of Allergy, Asthma & Immunology","Newly Acquired","104-105",2,12,"265",210,,,"Medicine"
10030,"Jena","0940-9602","Annals of Anatomy",,"192",1,6,"887",,,,"Medicine"
13057,"Orlando, FL","1092-9134","Annals of Diagnostic Pathology",,"14",1,6,"502",413,,,"Medicine"
13239,"Orlando, FL","0196-0644","Annals of Emergency Medicine",,"55-56",2,12,"525",431,,,"Medicine"
07601,"Orlando, FL","1047-2797","Annals of Epidemiology",,"20",1,12,"866",765,,,"Medicine"
00217,"Oxford","0306-4549","Annals of Nuclear Energy",,"37",1,12,"4358",,,,"Engineering, Energy and Technology"
12006,"Oxford","0003-4916","Annals of Physics",,"325",1,12,"5588",,,,"Physics and Astronomy"
05253,"Oxford","0168-0072","Annals of Pure and Applied Logic",,"161",1,12,"2681",,,,"Mathematics"
00689,"Oxford","0160-7383","Annals of Tourism Research",,"37",1,4,"831",,,,"Social and Behavioral Sciences"
13421,"Orlando, FL","0890-5096","Annals of Vascular Surgery","Publication Expansion","24",1,8,"926",880,,,"Medicine"
00442,"Oxford","0146-6453","Annals of the ICRP",,"40",1,6,"579",,,,"Medicine"
00429,"Oxford","1367-5788","Annual Reviews in Control",,"34",1,2,"655",,,,"Engineering, Energy and Technology"
15340,"Paris","1294-5501","Antibiotiques",,"12",1,4,"390",,,,"Life Sciences"
05001,"Oxford","0166-3542","Antiviral Research",,"85-88",4,12,"2813",,,,"Life Sciences"
12633,"Oxford","0195-6663","Appetite",,"54-55",2,6,"1114",,,,"Neuroscience"
04060,"Oxford","0962-1849","Applied & Preventive Psychology",,"14",1,4,"241",,,,"Social and Behavioral Sciences"
02003,"Oxford","0003-682X","Applied Acoustics",,"71",1,12,"2507",,,,"Physics and Astronomy"
05090,"Oxford","0168-1591","Applied Animal Behaviour Science",,"122-128",7,28,"3242",,,,"Agricultural and Biological Sciences"
05141,"Oxford",,"Applied Catalysis A+B (Combined Subscription)",,"2010",27,70,"10438",,,,"Chemistry and Chemical Engineering"
05139,"Oxford","0926-860X","Applied Catalysis A: General",,"371-389",19,38,"8076",,,,"Chemistry and Chemical Engineering"
05140,"Oxford","0926-3373","Applied Catalysis B: Environmental",,"92-99",8,32,"3452",,,,"Chemistry and Chemical Engineering"
05321,"Oxford","0169-1317","Applied Clay Science",,"47-50",4,16,"1376",,,,"Earth and Planetary Sciences"
02004,"Oxford","0306-2619","Applied Energy",,"87",1,12,"3431",,,,"Engineering, Energy and Technology"
03001,"Oxford","0003-6870","Applied Ergonomics",,"41",1,6,"1300",,,,"Engineering, Energy and Technology"
00768,"Oxford","0883-2927","Applied Geochemistry",,"25",1,12,"1497",,,,"Earth and Planetary Sciences"
03002,"Oxford","0143-6228","Applied Geography",,"30",1,4,"811",,,,"Social and Behavioral Sciences"
07604,"Oxford","0307-904X","Applied Mathematical Modelling",,"34",1,12,"1946",,,,"Computer Science"
07004,"Oxford",,"Applied Mathematical Modelling with Simulation Modelling Practice and Theory (Combined Subscription)",,"2010",2,22,"2422",,,,"Computer Science"
00843,"Oxford","0893-9659","Applied Mathematics Letters",,"23",1,12,"2315",,,,"Mathematics"
07612,"Oxford","0096-3003","Applied Mathematics and Computation",,"215-216",2,24,"6151",,,,"Mathematics"
05254,"Oxford","0168-9274","Applied Numerical Mathematics",,"60",1,12,"2377",,,,"Mathematics"
13158,"Orlando, FL","0897-1897","Applied Nursing Research",,"23",1,4,"371",298,,,"Nursing"
02005,"Oxford","0141-1187","Applied Ocean Research",,"32",1,4,"1213",,,,"Engineering, Energy and Technology"
00228,"Oxford","0969-8043","Applied Radiation and Isotopes",,"68",1,12,"3444",,,,"Physics and Astronomy"
05434,"Oxford","1568-4946","Applied Soft Computing
Quarterly print and electronic publication",,"10",1,4,"514",,,,"Engineering, Energy and Technology"
05091,"Oxford","0929-1393","Applied Soil Ecology",,"43-45",3,9,"1568",,,,"Agricultural and Biological Sciences"
05191,"Oxford","0169-4332","Applied Surface Science
Also included in Surface Science Full Set",,"256",1,24,"8191",,,,"Physics and Astronomy"
00630,"Oxford","1359-4311","Applied Thermal Engineering",,"30",1,18,"2714",,,,"Chemistry and Chemical Engineering"
12003,"Oxford","1063-5203","Applied and Computational Harmonic Analysis",,"28-29",2,6,"737",,,,"Mathematics"
02006,"Oxford","0144-8609","Aquacultural Engineering
Members of the Aquacultural Engineering Society can subscribe to Aquacultural Engineering for a special discounted price (see journal)",,"42-43",2,6,"1196",,,,"Agricultural and Biological Sciences"
05092,"Oxford","0044-8486","Aquaculture",,"298-309",12,48,"5086",,,,"Agricultural and Biological Sciences"
05093,"Oxford","0304-3770","Aquatic Botany",,"92-93",2,8,"1699",,,,"Agricultural and Biological Sciences"
05094,"Oxford","0166-445X","Aquatic Toxicology",,"96-100",5,20,"2896",,,,"Agricultural and Biological Sciences"
05622,"Oxford","1687-1979","Arab Journal of Gastroenterology","Newly Acquired","11",1,4,"449",,,,"Medicine"
08695,"Oxford","1878-5352","Arabian Journal of Chemistry",,,,,,,,,"Chemistry and Chemical Engineering"
08638,"Oxford","1563-0110","Archaeology, Ethnology and Anthropology of Eurasia",,"38",1,4,"1031",,,,"Arts and Humanities"
09014,"Paris","0929-693X","Archives de Pediatrie",,"17",1,12,"534",,,,"Medicine"
15360,"Paris","1775-8785","Archives des Maladies Professionnelles et de L'Environnement",,"72",1,6,"511",,,,"Medicine"
15852,"Oxford","1261-694X","Archives des Maladies du Coeur et des Vaisseaux - Pratique",,"2010",1,10,"137",,,,"Medicine"
12007,"Oxford","0003-9861","Archives of Biochemistry and Biophysics",,"493-504",12,24,"6063",,,,"Life Sciences"
15568,"Oxford","1875-2136","Archives of Cardiovascular Diseases",,"103",1,12,"299",,,,"Medicine"
15863,"Oxford",,"Archives of Cardiovascular Diseases Supplements",,"2",1,4,"240",,,,"Medicine"
08003,"Oxford","0167-4943","Archives of Gerontology and Geriatrics",,"50-51",2,6,"2358",,,,"Life Sciences"
07608,"Orlando, FL","0188-4409","Archives of Medical Research",,"41",1,8,"436",384,,,"Medicine"
00203,"Oxford","0003-9969","Archives of Oral Biology",,"55",1,12,"3537",,,,"Dentistry"
13310,"Orlando, FL","0003-9993","Archives of Physical Medicine and Rehabilitation",,"91",1,12,"685",552,,,"Medicine"
13191,"Orlando, FL","0883-9417","Archives of Psychiatric Nursing",,"24",1,6,"309",222,,,"Nursing"
15701,"Oxford","0300-2896","Archivos de Bronconeumologia",,"46",1,12,,,,,"Medicine"
06071,"Oxford","1872-9312","Artery Research",,"4",1,4,"385",,,,"Medicine"
08503,"Oxford","0014-4355","Arthritis and Rheumatism (Section 31 EMBASE)
Also available as part of the Excerpta Medica Full Set Series",,"46",1,8,"2400",,,,"Life Sciences"
00356,"Oxford","1467-8039","Arthropod Structure & Development",,"39",1,6,"1550",,,,"Life Sciences"
00394,"Oxford",,"Arthropod Structure & Development with Insect Biochemistry and Molecular Biology and Journal of Insect Physiology (Combined Subscription)",,"2010",3,30,"6717",,,,"Agricultural and Biological Sciences"
13049,"Orlando, FL","0749-8063","Arthroscopy: The Journal of Arthroscopy and Related Surgery",,"26",1,12,"1052",862,,,"Medicine"
05255,"Oxford","0004-3702","Artificial Intelligence",,"174",1,18,"2771",,,,"Computer Science"
05095,"Oxford","0933-3657","Artificial Intelligence in Medicine",,"48-50",3,9,"931",,,,"Medicine"
06077,"Oxford","1876-2018","Asian Journal of Psychiatry",,"3",1,4,"331",,,,"Medicine"
08586,"Oxford","1015-9584","Asian Journal of Surgery",,"33",1,4,"317",,,,"Medicine"
08651,"Oxford","1976-1317","Asian Nursing Research",,,,,,,,,"Nursing"
08705,"Oxford","1995-7645","Asian Pacific Journal of Tropical Medicine","New","3",1,12,"688",,,,"Medicine"
07449,"Oxford","1075-2935","Assessing Writing

Discounted subscription rates are available to the members of the British Association for Applied Linguistics (BAAL) and the American Association for Applied Linguistics (AAAL).For more information please contact your regional sales office.",,"15",1,3,"314",,,,"Social and Behavioral Sciences"
05460,"Oxford",,"Astronomy and Astrophysics Package
Comprising: 
Astroparticle Physics
New Astronomy 
New Astronomy Reviews",,"2010",4,26,"2837",,,,"Physics and Astronomy"
05192,"Oxford","0927-6505","Astroparticle Physics
Also available as part of the Astronomy and Astrophysics Package",,"32-33",2,12,"1033",,,,"Physics and Astronomy"
15721,"Oxford","0212-6567","Atencion Primaria",,"42",1,12,,,,,"Multidiscipline"
08004,"Oxford","0021-9150","Atherosclerosis",,"208-213",6,12,"5404",,,,"Medicine"
13032,"Orlando, FL","1061-3315","Atlas of The Oral and Maxillofacial Surgery Clinics of North America",,"18",1,2,"360",319,,,"Dentistry"
00246,"Oxford","1352-2310","Atmospheric Environment
Also available as part of the Environmental Science Packages",,"44",1,40,"7262",,,,"Environmental Sciences"
05322,"Oxford","0169-8095","Atmospheric Research",,"95-98",4,16,"2354",,,,"Earth and Planetary Sciences"
12004,"Oxford","0092-640X","Atomic Data and Nuclear Data Tables",,"96",1,6,"1370",,,,"Physics and Astronomy"
08060,"Oxford","0385-8146","Auris Nasus Larynx",,"37",1,6,"463",,,,"Medicine"
04082,"Oxford","1574-6267","Australasian Emergency Nursing Journal",,"13",1,4,"264",,,,"Nursing"
04120,"Oxford","1441-3582","Australasian Marketing Journal",,"18",1,4,"436",,,,"Economics, Business and Management"
04101,"Oxford","1036-7314","Australian Critical Care",,"23",1,4,"196",,,,"Nursing"
05467,"Oxford","1568-9972","Autoimmunity Reviews","Publication Expansion","9",1,12,"550",,,,"Life Sciences"
00270,"Oxford","0005-1098","Automatica",,"46",1,12,"3223",,,,"Engineering, Energy and Technology"
00323,"Oxford",,"Automatica with Control Engineering Practice (Combined Subscription)",,"2010",2,24,"4838",,,,"Engineering, Energy and Technology"
05256,"Oxford","0926-5805","Automation in Construction",,"19",1,8,"853",,,,"Engineering, Energy and Technology"
05062,"Oxford","1566-0702","Autonomic Neuroscience: Basic and Clinical",,"152-158",7,14,"4121",,,,"Neuroscience"
05013,"Oxford",,"BBA - Biochimica et Biophysica Acta
Comprising:
Bioenergetics 
Biomembranes
General Subjects
Gene Regulatory Mechanisms 
Molecular and Cell Biology of Lipids
Molecular Basis of Disease 
Molecular Cell Research
Proteins and Proteomics
Reviews on Cancer",,"2010",10,100,"19901",,,,"Life Sciences"
05002,"Oxford","0005-2728","BBA - Bioenergetics",,"1797",1,12,"3022",,,,"Life Sciences"
05003,"Oxford","0005-2736","BBA - Biomembranes",,"1798",1,12,"5713",,,,"Life Sciences"
05005,"Oxford","1874-9399","BBA - Gene Regulatory Mechanisms",,"1799",1,12,"3887",,,,"Medicine"
05006,"Oxford","0304-4165","BBA - General Subjects",,"1800",1,12,"3383",,,,"Life Sciences"
05008,"Oxford","0925-4439","BBA - Molecular Basis of Disease",,"1802",1,12,"1814",,,,"Life Sciences"
05009,"Oxford","0167-4889","BBA - Molecular Cell Research",,"1803",1,12,"3022",,,,"Life Sciences"
05007,"Oxford","1388-1981","BBA - Molecular and Cell Biology of Lipids",,"1801",1,12,"3571",,,,"Life Sciences"
05010,"Oxford","1570-9639","BBA - Proteins and Proteomics",,"1804",1,12,"4097",,,,"Life Sciences"
05012,"Oxford","0304-419X","BBA - Reviews on Cancer",,"1805-1806",2,4,"1268",,,,"Life Sciences"
07617,"Oxford","8756-3282","BONE",,"46-47",2,12,"3446",,,,"Medicine"
10017,"Jena","1439-1791","Basic and Applied Ecology",,"11",1,8,"594",,,,"Environmental Sciences"
04241,"Oxford","0005-7894","Behavior Therapy",,"41",1,4,"210",,,,"Social and Behavioral Sciences"
00265,"Oxford","0005-7967","Behaviour Research and Therapy",,"48",1,12,"2120",,,,"Social and Behavioral Sciences"
05014,"Oxford","0166-4328","Behavioural Brain Research
Also available as part of the Neuroscience Package - Option 2",,"206-215",10,20,"6658",,,,"Neuroscience"
05015,"Oxford","0376-6357","Behavioural Processes",,"83-85",3,9,"2481",,,,"Social and Behavioral Sciences"
12666,"Oxford","1521-6896","Best Practice & Research: Clinical Anaesthesiology",,"24",1,4,"371",,,,"Medicine"
12667,"Oxford","1521-690X","Best Practice & Research: Clinical Endocrinology & Metabolism",,"24",1,6,"472",,,,"Medicine"
12668,"Oxford","1521-6918","Best Practice & Research: Clinical Gastroenterology",,"24",1,6,"528",,,,"Medicine"
12669,"Oxford","1521-6926","Best Practice & Research: Clinical Haematology",,"23",1,4,"402",,,,"Medicine"
12670,"Oxford","1521-6934","Best Practice & Research: Clinical Obstetrics & Gynaecology",,"24",1,6,"744",,,,"Medicine"
12671,"Oxford","1521-6942","Best Practice & Research: Clinical Rheumatology",,"24",1,6,"451",,,,"Medicine"
08005,"Oxford","0303-2647","BioSystems",,"99-102",4,12,"2192",,,,"Agricultural and Biological Sciences"
06049,"Oxford","1369-703X","Biochemical Engineering Journal",,"47-51",5,15,"1758",,,,"Chemistry and Chemical Engineering"
07505,"Oxford","0006-2952","Biochemical Pharmacology
Also available as part of the Pharmacology Packages",,"79-80",2,24,"8746",,,,"Pharmacology, Pharmaceutical Science and Toxicology"
00364,"Oxford","0305-1978","Biochemical Systematics and Ecology",,"38",1,6,"2089",,,,"Life Sciences"
12009,"Oxford","0006-291X","Biochemical and Biophysical Research Communications",,"391-403",13,52,"6963",,,,"Life Sciences"
09015,"Oxford","0300-9084","Biochimie",,"92",1,12,"1322",,,,"Life Sciences"
06000,"Oxford","1567-5394","Bioelectrochemistry",,"77-79",3,6,"2583",,,,"Chemistry and Chemical Engineering"
02008,"Oxford","0006-3207","Biological Conservation
To subscribe as a BES member contact the society at http://www.britishecologicalsociety.org",,"143",1,12,"3304",,,,"Environmental Sciences"
12012,"Oxford","1049-9644","Biological Control",,"52-55",4,12,"807",,,,"Agricultural and Biological Sciences"
07615,"Orlando, FL","0006-3223","Biological Psychiatry",,"67-68",2,24,"2955","2,808",,,"Neuroscience"
05016,"Oxford","0301-0511","Biological Psychology",,"83-85",3,9,"1814",,,,"Neuroscience"
12680,"Oxford","1045-1056","Biologicals",,"38",1,6,"532",,,,"Life Sciences"
13342,"Orlando, FL","1083-8791","Biology of Blood and Marrow Transplantation","Publication Expansion","16",1,12,"694",589,,,"Medicine"
00986,"Oxford","0961-9534","Biomass & Bioenergy",,"34",1,12,"1985",,,,"Engineering, Energy and Technology"
03004,"Oxford","0142-9612","Biomaterials",,"31",1,36,"5053",,,,"Materials Science"
03099,"Oxford","1746-8094","Biomedical Signal Processing and Control",,"5",1,4,"1045",,,,"Life Sciences"
06074,"Oxford","0895-3988","Biomedical and Environmental Sciences",,"23",1,6,"418",,,,"Medicine"
09018,"Paris","0753-3322","Biomedicine & Pharmacotherapy",,"64",1,10,"854",,,,"Medicine"
02265,"Oxford","0969-4765","Biometric Technology Today",,"2010",1,10,"1080",,,,"Computer Science"
00129,"Oxford","0968-0896","Bioorganic & Medicinal Chemistry",,"18",1,24,"2817",,,,"Chemistry and Chemical Engineering"
00972,"Oxford","0960-894X","Bioorganic & Medicinal Chemistry Letters",,"20",1,24,"3602",,,,"Chemistry and Chemical Engineering"
00107,"Oxford",,"Bioorganic & Medicinal Chemistry Letters with Tetrahedron Letters (Combined Subscription)",,"2010",2,76,"17632",,,,"Chemistry and Chemical Engineering"
00131,"Oxford",,"Bioorganic & Medicinal Chemistry with Bioorganic & Medicinal Chemistry Letters (Combined Subscription)",,"2010",2,48,"5778",,,,"Chemistry and Chemical Engineering"
